Name,IDfg,key_mlbam,season,Team,Y,n,obp_raw,Age,SO,GB%,K%,park_factor,avg_fip_faced,avg_fip_faced_z,park_factor_z,k_rate_z,gb_rate_z,age_z,obp_posterior_mean,obp_posterior_median,obp_posterior_sd,obp_ci_lower,obp_ci_upper,shrinkage
Seiya Suzuki,30116,673548,2023,CHC,208.0,583.0,0.3567753001715266,28.0,130.0,,0.22298456260720412,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.16823083351039947,0.0,-0.10713148763853422,0.3601967103409223,0.35523862138383877,0.030317143960666763,0.3191279522458974,0.4170870467264492,0.9254269786847789
Matt Chapman,16505,656305,2023,TOR,192.0,581.0,0.3304647160068847,30.0,165.0,,0.28399311531841653,1.0,4.165,-0.38242182645965583,0.0,0.8232580316179418,0.0,0.41338170884607034,0.3340249039977569,0.33009158664316196,0.03097274878006238,0.2979531185545977,0.37173309011445976,0.8180738689770946
Daulton Varsho*,19918,662139,2023,TOR,165.0,581.0,0.28399311531841653,26.0,135.0,,0.23235800344234078,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.015897073685454885,0.0,-0.6276446841231388,0.2922098223896251,0.2872139048275073,0.034093701600661816,0.2568701870369811,0.33373193871969636,0.6945710202632049
Carlos Correa,14162,621043,2023,MIN,181.0,580.0,0.3120689655172414,28.0,131.0,,0.22586206896551725,1.0,5.04,0.73868041307551,0.0,-0.12146664411701408,0.0,-0.10713148763853422,0.3187845031284725,0.31440274113618505,0.03471571982086243,0.27779870480541813,0.36049352608990753,-4.721853644775646
Jorge Soler,14221,624585,2023,MIA,198.0,580.0,0.3413793103448276,31.0,141.0,,0.24310344827586206,1.0,5.1425,0.8700095325639152,0.0,0.15873399736647598,0.0,0.6736383070883726,0.34261632791879393,0.3400698475908541,0.030146362170426218,0.306525352033606,0.38898027615883496,0.9594207719604229
Masataka Yoshida*,31837,807799,2023,BOS,196.0,580.0,0.33793103448275863,29.0,81.0,,0.1396551724137931,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-1.5224698515344661,0.0,0.15312511060376804,0.34192353167657413,0.341727954405917,0.02917617246778693,0.29790451254316924,0.38799686350266166,0.8523251765981337
Max Muncy*,13301,571970,2023,LAD,193.0,579.0,0.3333333333333333,32.0,153.0,,0.26424870466321243,1.0,5.985714285714286,1.9503860172751506,0.0,0.502379032802446,0.0,0.9338949053306749,0.33826007623563276,0.3363292833837615,0.032309755820724685,0.2913714342490566,0.3877110775125921,0.7804289257569557
Jeimer Candelario#,13621,600869,2023,2TM,193.0,576.0,0.3350694444444444,29.0,127.0,,0.2204861111111111,1.0,7.350909090909091,3.6995551069959167,0.0,-0.20883476080179708,0.0,0.15312511060376804,0.3404800044606376,0.3361978229991399,0.0304361971544176,0.30177677266451836,0.385937404688437,0.7761840046616449
Jeimer Candelario#,13621,600869,2023,WSN,143.0,419.0,0.3412887828162291,29.0,88.0,,0.2100238663484487,1.0,7.350909090909091,3.6995551069959167,0.0,-0.37886336704540424,0.0,0.15312511060376804,0.34997089848135543,0.3497003861308551,0.035635128308124646,0.29202444155684226,0.4149439300135383,0.7143428427541265
Jeimer Candelario#,13621,600869,2023,CHC,50.0,157.0,0.3184713375796178,29.0,39.0,,0.2484076433121019,1.0,7.350909090909091,3.6995551069959167,0.0,0.24493585076553726,0.0,0.15312511060376804,0.32484428079230626,0.32568728810344927,0.04523365454797081,0.2507694137327971,0.4159768897780228,0.1588024956823888
