Name,IDfg,key_mlbam,season,Team,Y,n,obp_raw,Age,SO,GB%,K%,park_factor,avg_fip_faced,avg_fip_faced_z,park_factor_z,k_rate_z,gb_rate_z,age_z
Matt Chapman,16505,656305,2023,TOR,192.0,581.0,0.3304647160068847,30.0,165.0,,0.28399311531841653,1.0,4.165,-0.38242182645965583,0.0,0.8232580316179418,0.0,0.41338170884607034
Daulton Varsho*,19918,662139,2023,TOR,165.0,581.0,0.28399311531841653,26.0,135.0,,0.23235800344234078,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.015897073685454885,0.0,-0.6276446841231388
Carlos Correa,14162,621043,2023,MIN,181.0,580.0,0.3120689655172414,28.0,131.0,,0.22586206896551725,1.0,5.04,0.73868041307551,0.0,-0.12146664411701408,0.0,-0.10713148763853422
Jorge Soler,14221,624585,2023,MIA,198.0,580.0,0.3413793103448276,31.0,141.0,,0.24310344827586206,1.0,5.1425,0.8700095325639152,0.0,0.15873399736647598,0.0,0.6736383070883726
Masataka Yoshida*,31837,807799,2023,BOS,196.0,580.0,0.33793103448275863,29.0,81.0,,0.1396551724137931,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-1.5224698515344661,0.0,0.15312511060376804
Max Muncy*,13301,571970,2023,LAD,193.0,579.0,0.3333333333333333,32.0,153.0,,0.26424870466321243,1.0,5.985714285714286,1.9503860172751506,0.0,0.502379032802446,0.0,0.9338949053306749
Jeimer Candelario#,13621,600869,2023,2TM,193.0,576.0,0.3350694444444444,29.0,127.0,,0.2204861111111111,1.0,7.350909090909091,3.6995551069959167,0.0,-0.20883476080179708,0.0,0.15312511060376804
Jeimer Candelario#,13621,600869,2023,WSN,143.0,419.0,0.3412887828162291,29.0,88.0,,0.2100238663484487,1.0,7.350909090909091,3.6995551069959167,0.0,-0.37886336704540424,0.0,0.15312511060376804
Jeimer Candelario#,13621,600869,2023,CHC,50.0,157.0,0.3184713375796178,29.0,39.0,,0.2484076433121019,1.0,7.350909090909091,3.6995551069959167,0.0,0.24493585076553726,0.0,0.15312511060376804
Isaac Paredes,20036,670623,2023,TBR,201.0,571.0,0.3520140105078809,24.0,104.0,,0.18213660245183888,1.0,6.452,2.547819112759686,0.0,-0.8320770625622724,0.0,-1.1481578806077433
Cal Raleigh#,21534,663728,2023,SEA,174.0,569.0,0.30579964850615116,26.0,158.0,,0.27768014059753954,1.0,3.687272727272727,-0.9945145297071676,0.0,0.7206618567633318,0.0,-0.6276446841231388
James Outman*,24770,681546,2023,LAD,200.0,567.0,0.3527336860670194,26.0,181.0,,0.31922398589065254,1.0,7.1225000000000005,3.4069037431692055,0.0,1.3958173586109583,0.0,-0.6276446841231388
Austin Hays,19363,669720,2023,BAL,184.0,566.0,0.3250883392226148,27.0,141.0,,0.24911660777385158,1.0,3.6824999999999997,-1.0006296328319049,0.0,0.2564576839898701,0.0,-0.3673880858808365
DJ LeMahieu,9874,518934,2023,NYY,184.0,562.0,0.3274021352313167,34.0,125.0,,0.22241992882562278,1.0,3.85,-0.7860186326923155,0.0,-0.17740705688293515,0.0,1.4544081018152795
Keibert Ruiz#,19610,660688,2023,WSN,173.0,562.0,0.30782918149466193,24.0,58.0,,0.10320284697508897,1.0,7.161818181818182,3.4572805451015647,0.0,-2.1148798198808776,0.0,-1.1481578806077433
Cody Bellinger*,15998,641355,2023,CHC,198.0,556.0,0.35611510791366907,27.0,87.0,,0.1564748201438849,1.0,3.7419999999999995,-0.9243946805435138,0.0,-1.2491230386915793,0.0,-0.3673880858808365
TJ Friedl*,19522,670770,2023,CIN,193.0,556.0,0.3471223021582734,27.0,90.0,,0.1618705035971223,1.0,2.965,-1.9199334692507408,0.0,-1.1614343487309187,0.0,-0.3673880858808365
Trent Grisham*,18564,663757,2023,SDP,173.0,555.0,0.3117117117117117,26.0,154.0,,0.2774774774774775,1.0,4.5600000000000005,0.12367575595907679,0.0,0.7173682492610385,0.0,-0.6276446841231388
Will Smith,19197,669257,2023,LAD,199.0,554.0,0.3592057761732852,28.0,89.0,,0.16064981949458484,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-1.1812724639085408,0.0,-0.10713148763853422
Leody Taveras#,18900,665750,2023,TEX,172.0,554.0,0.3104693140794224,24.0,117.0,,0.2111913357400722,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.3598900780435798,0.0,-1.1481578806077433
Hunter Renfroe,15464,592669,2023,2TM,163.0,548.0,0.29744525547445255,31.0,125.0,,0.2281021897810219,1.0,4.0874999999999995,-0.4817194533899141,0.0,-0.0850610133257286,0.0,0.6736383070883726
Hunter Renfroe,15464,592669,2023,LAA,153.0,504.0,0.30357142857142855,31.0,113.0,,0.22420634920634921,1.0,4.0874999999999995,-0.4817194533899141,0.0,-0.14837480095788894,0.0,0.6736383070883726
Javier Báez,12979,595879,2023,DET,146.0,547.0,0.26691042047531993,30.0,125.0,,0.22851919561243145,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.0782839858408565,0.0,0.41338170884607034
Bryce Harper*,11579,547180,2023,PHI,219.0,546.0,0.4010989010989011,30.0,119.0,,0.21794871794871795,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.25007155392610336,0.0,0.41338170884607034
Amed Rosario,15518,642708,2023,2TM,166.0,545.0,0.30458715596330277,27.0,99.0,,0.181651376146789,1.0,3.555,-1.1639902448784571,0.0,-0.8399627844347716,0.0,-0.3673880858808365
Amed Rosario,15518,642708,2023,CLE,126.0,412.0,0.3058252427184466,27.0,77.0,,0.18689320388349515,1.0,3.555,-1.1639902448784571,0.0,-0.7547745017612527,0.0,-0.3673880858808365
Amed Rosario,15518,642708,2023,LAD,40.0,133.0,0.3007518796992481,27.0,22.0,,0.16541353383458646,1.0,3.555,-1.1639902448784571,0.0,-1.1038543067016127,0.0,-0.3673880858808365
Jake Burger,22275,669394,2023,2TM,167.0,540.0,0.30925925925925923,27.0,149.0,,0.2759259259259259,1.0,5.11375,0.8331733161220449,0.0,0.6921529963387503,0.0,-0.3673880858808365
Jake Burger,22275,669394,2023,CHW,90.0,323.0,0.2786377708978328,27.0,102.0,,0.3157894736842105,1.0,5.11375,0.8331733161220449,0.0,1.3400009122521381,0.0,-0.3673880858808365
Jake Burger,22275,669394,2023,MIA,77.0,217.0,0.3548387096774194,27.0,47.0,,0.21658986175115208,1.0,5.11375,0.8331733161220449,0.0,-0.27215519186412623,0.0,-0.3673880858808365
Corey Seager*,13624,608369,2023,TEX,209.0,536.0,0.38992537313432835,29.0,88.0,,0.16417910447761194,1.0,3.7225,-0.9493792447388681,0.0,-1.1239158047676507,0.0,0.15312511060376804
Jack Suwinski*,22244,669261,2023,PIT,181.0,534.0,0.3389513108614232,24.0,172.0,,0.32209737827715357,1.0,5.413846153846153,1.2176744248681162,0.0,1.4425146892269776,0.0,-1.1481578806077433
Orlando Arcia,13185,606115,2023,ATL,171.0,533.0,0.32082551594746717,28.0,102.0,,0.19136960600375236,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.6820256385144733,0.0,-0.10713148763853422
Thairo Estrada,16426,642731,2023,SFG,167.0,530.0,0.3150943396226415,27.0,120.0,,0.22641509433962265,1.0,4.3999999999999995,-0.08132579641306915,0.0,-0.11247907637131725,0.0,-0.3673880858808365
Matt Vierling,21558,663837,2023,DET,174.0,530.0,0.3283018867924528,26.0,112.0,,0.21132075471698114,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.3577868077832786,0.0,-0.6276446841231388
Jonathan India,21523,663697,2023,CIN,179.0,529.0,0.3383742911153119,26.0,109.0,,0.2060491493383743,1.0,3.26,-1.5419618570645992,0.0,-0.44345902588981917,0.0,-0.6276446841231388
Tommy Edman#,19470,669242,2023,STL,161.0,528.0,0.30492424242424243,28.0,84.0,,0.1590909090909091,1.0,5.062,0.7668681265266802,0.0,-1.2066073102258044,0.0,-0.10713148763853422
Brent Rooker,19627,667670,2023,OAK,173.0,526.0,0.3288973384030418,28.0,172.0,,0.3269961977186312,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,1.5221285255277794,0.0,-0.10713148763853422
Tim Anderson,15172,641313,2023,CHW,150.0,524.0,0.2862595419847328,30.0,122.0,,0.23282442748091603,1.0,5.444545454545454,1.2570082017437163,0.0,-0.008316919426352824,0.0,0.41338170884607034
Brandon Drury,11615,592273,2023,LAA,160.0,523.0,0.30592734225621415,30.0,136.0,,0.26003824091778205,1.0,4.0874999999999995,-0.4817194533899141,0.0,0.43395210354251673,0.0,0.41338170884607034
Jake Cronenworth*,18036,630105,2023,SDP,162.0,522.0,0.3103448275862069,29.0,97.0,,0.18582375478927204,1.0,4.694999999999999,0.2966458157730724,0.0,-0.7721548004508972,0.0,0.15312511060376804
Jurickson Profar#,10815,595777,2023,2TM,167.0,521.0,0.32053742802303264,30.0,90.0,,0.1727447216890595,1.0,4.918571428571428,0.5830988777930783,0.0,-0.9847105014013722,0.0,0.41338170884607034
Jurickson Profar#,10815,595777,2023,COL,149.0,472.0,0.3156779661016949,30.0,86.0,,0.18220338983050846,1.0,4.918571428571428,0.5830988777930783,0.0,-0.8309916583141918,0.0,0.41338170884607034
Zach McKinstry*,19392,656716,2023,DET,156.0,518.0,0.30115830115830117,28.0,113.0,,0.21814671814671815,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.24685372654147947,0.0,-0.10713148763853422
Myles Straw,17620,664702,2023,CLE,154.0,518.0,0.2972972972972973,28.0,97.0,,0.18725868725868725,1.0,3.3200000000000003,-1.4650862749250444,0.0,-0.7488347985427908,0.0,-0.10713148763853422
Tyler Stephenson,17988,663886,2023,CIN,164.0,517.0,0.31721470019342357,26.0,135.0,,0.2611218568665377,1.0,2.965,-1.9199334692507408,0.0,0.45156263681237535,0.0,-0.6276446841231388
Eddie Rosario*,12155,592696,2023,ATL,157.0,516.0,0.30426356589147285,31.0,122.0,,0.2364341085271318,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,0.050346307366273386,0.0,0.6736383070883726
Josh Jung,26299,673962,2023,TEX,162.0,515.0,0.3145631067961165,25.0,151.0,,0.29320388349514565,1.0,3.7225,-0.9493792447388681,0.0,0.9729480944151043,0.0,-0.8879012823654411
Mark Canha,11445,592192,2023,2TM,180.0,507.0,0.35502958579881655,34.0,79.0,,0.15581854043392504,1.0,5.378,1.1717461924616657,0.0,-1.2597886584435334,0.0,1.4544081018152795
Mark Canha,11445,592192,2023,NYM,104.0,303.0,0.3432343234323432,34.0,52.0,,0.1716171617161716,1.0,5.378,1.1717461924616657,0.0,-1.0030351970088012,0.0,1.4544081018152795
Mark Canha,11445,592192,2023,MIL,76.0,204.0,0.37254901960784315,34.0,27.0,,0.1323529411764706,1.0,5.378,1.1717461924616657,0.0,-1.641143064398062,0.0,1.4544081018152795
Lars Nootbaar*,21454,663457,2023,STL,184.0,503.0,0.3658051689860835,25.0,99.0,,0.19681908548707752,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.5934626749897011,0.0,-0.8879012823654411
Triston Casas*,22514,671213,2023,BOS,184.0,502.0,0.3665338645418327,23.0,126.0,,0.250996015936255,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,0.287001143607325,0.0,-1.4084144788500457
Jonah Heim#,16930,641680,2023,TEX,159.0,501.0,0.31736526946107785,28.0,96.0,,0.19161676646706588,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,-0.6780088763330245,0.0,-0.10713148763853422
Josh Lowe*,19953,666139,2023,TBR,168.0,501.0,0.33532934131736525,25.0,124.0,,0.24750499001996007,1.0,4.463473311667755,-1.1379872176372741e-15,0.0,0.2302662569388082,0.0,-0.8879012823654411
Esteury Ruiz,21780,665923,2023,OAK,150.0,497.0,0.30181086519114686,24.0,99.0,,0.19919517102615694,1.0,3.715,-0.9589886925063128,0.0,-0.5548473948380586,0.0,-1.1481578806077433
